,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,Fire Alarm
8998,-5.227,52.25,360,400,13060,19902,939.265,0.55,0.57,1
58086,-8.998,45.38,112,406,12775,20634,937.46,2.06,2.14,0
25956,13.17,56.59,20,400,13013,19922,939.753,0.13,0.14,0
24294,-7.353,53.64,1321,400,12995,19398,938.78,1.96,2.03,1
36781,26.87,47.13,1019,593,12818,19469,939.098,2.08,2.16,1
33968,18.48,56.8,361,400,13054,19892,939.246,0.35,0.36,1
51930,26.44,46.26,91,433,12775,20661,937.572,1.82,1.9,0
52443,28.93,41.19,79,400,12789,20652,937.467,1.49,1.55,0
56339,58.99,12.56,60000,3079,11960,17387,936.796,5696.56,10588.71,0
53282,28.66,41.88,125,400,12797,20604,937.36,1.81,1.88,0
37223,24.52,52.83,990,575,12825,19478,939.03,1.95,2.03,1
51987,26.51,46.02,93,416,12784,20666,937.576,1.91,1.98,0
48488,25.14,50.11,1431,417,12961,19374,938.701,2.14,2.23,1
11609,13.022,47.16,1021,614,12813,19462,939.07,1.81,1.89,1
19200,20.665,53.96,1203,405,12918,19429,938.704,1.57,1.63,1
47667,24.44,53.88,1360,407,12966,19380,938.753,2.31,2.4,1
61648,7.42,19.68,0,400,13639,21325,936.83,0.96,1.0,0
35365,23.9,51.92,904,693,12778,19489,939.084,2.56,2.66,1
43719,26.43,50.64,1178,400,12923,19433,938.707,1.54,1.6,1
44981,26.5,49.93,1147,400,12933,19445,938.741,1.57,1.63,1
14554,14.998,49.27,1218,489,12850,19432,938.897,2.16,2.24,1
39820,26.51,49.75,1099,446,12869,19449,938.835,1.9,1.98,1
58756,-4.318,47.34,109,400,12790,20611,937.388,2.05,2.13,0
33941,20.74,51.86,354,400,13068,19913,939.27,0.39,0.41,1
37427,26.74,47.9,1017,558,12836,19472,938.996,2.28,2.37,1
18736,20.561,48.02,1212,400,12915,19428,938.704,1.5,1.56,1
53384,25.67,48.33,129,404,12786,20592,937.341,1.87,1.94,0
42098,26.32,51.28,1084,400,12907,19455,938.789,2.22,2.3,1
27518,17.92,53.09,63,400,13189,20109,939.625,1.12,1.16,0
48246,25.45,48.4,1465,437,12957,19361,938.716,1.49,1.55,1
46011,26.85,47.96,1379,419,12944,19377,938.69,2.02,2.1,1
10547,1.512,48.81,937,673,12789,19501,939.092,2.22,2.31,1
39377,24.79,52.3,1107,470,12861,19448,938.906,1.48,1.53,1
23903,-15.898,48.03,1402,408,12975,19377,938.714,1.7,1.77,1
29838,20.08,53.38,41,400,13252,20180,939.698,2.37,2.46,1
55553,49.17,24.97,18742,648,12693,18972,936.881,0.77,0.81,0
6941,-5.512,54.84,226,400,13134,20035,939.608,0.67,0.7,1
50126,26.06,60.71,499,1541,12910,19464,931.213,9654.1,27947.16,1
1299,26.736,54.37,0,400,13106,19992,939.712,0.4,0.42,0
6476,-7.119,55.72,191,400,13150,20063,939.651,0.59,0.62,1
43299,26.4,50.66,1170,400,12914,19433,938.697,1.65,1.72,1
53108,28.8,41.45,128,413,12783,20592,937.344,1.94,2.02,0
2090,21.75,47.17,1,400,13158,20066,939.618,0.93,0.97,0
13037,20.823,47.52,1097,528,12838,19456,938.931,1.8,1.87,1
22284,-16.643,47.83,1367,402,12962,19389,938.718,1.93,2.01,1
43981,27.09,47.46,1243,401,12916,19426,938.699,1.8,1.87,1
42291,26.94,47.89,1164,405,12896,19436,938.772,1.84,1.91,1
19497,19.89,53.84,1226,411,12917,19417,938.682,1.75,1.82,1
35897,26.41,48.08,977,650,12800,19479,939.064,2.34,2.43,1
23345,-21.568,51.13,1358,401,12975,19388,938.696,1.63,1.69,1
36577,25.92,52.05,988,597,12818,19473,939.057,1.88,1.95,1
54856,25.65,39.28,0,400,13434,21266,937.377,1.95,2.03,0
35518,25.4,51.52,883,662,12789,19502,939.112,2.52,2.62,1
2388,18.771,46.92,17,400,13214,20139,939.6,0.88,0.92,0
31846,21.01,50.62,214,400,13147,20047,939.6,0.45,0.47,1
56285,57.6,18.01,60000,22281,10916,15641,936.79,12739.25,34529.38,0
58667,-4.08,41.55,90,400,12790,20638,937.409,1.85,1.92,0
43416,26.0,53.13,1141,400,12917,19429,938.712,1.75,1.82,1
25397,13.5,53.86,0,400,12737,19767,939.851,0.21,0.27,0
51032,32.74,17.79,66,1904,12668,20634,930.934,0.64,0.67,1
43347,24.54,53.52,1208,408,12910,19423,938.743,1.46,1.51,1
25046,10.81,56.55,11,404,12512,19596,939.693,0.01,0.04,0
22665,-20.273,53.25,1398,415,12962,19385,938.754,1.99,2.07,1
19152,20.722,48.61,1191,400,12922,19439,938.71,1.56,1.63,1
30126,21.18,48.1,57,400,13227,20150,939.689,1.94,2.02,1
20134,15.289,50.0,1247,400,12939,19417,938.734,1.68,1.74,1
48692,24.33,54.26,1375,400,12978,19390,938.699,1.78,1.85,1
45891,26.83,47.93,1354,417,12948,19391,938.705,1.99,2.06,1
19366,20.325,53.14,1235,400,12922,19421,938.706,1.79,1.86,1
42500,24.68,53.05,1170,404,12899,19443,938.752,1.52,1.58,1
47246,24.44,53.78,1371,413,12960,19386,938.71,1.92,1.99,1
54433,28.93,42.23,195,421,12770,20524,937.394,1.96,2.04,0
36313,26.72,47.38,1017,630,12806,19477,939.07,1.86,1.93,1
21646,-7.642,53.26,1318,403,12959,19394,938.721,2.34,2.43,1
2505,17.488,46.77,53,400,13189,20123,939.61,0.97,1.0,0
107,21.479,56.07,12,402,12534,19624,939.794,0.05,0.16,0
16335,12.511,47.97,1143,400,12893,19442,938.732,2.0,2.08,1
18403,19.753,52.7,1258,420,12903,19415,938.705,1.42,1.48,1
4937,-8.057,49.13,38,400,13251,20178,939.695,2.36,2.46,1
30550,20.1,52.38,38,400,13244,20221,939.729,2.37,2.46,1
19554,19.652,53.75,1210,400,12927,19432,938.696,1.64,1.71,1
16143,12.223,52.1,1111,400,12893,19444,938.767,1.81,1.88,1
17379,15.655,51.86,1239,417,12889,19419,938.745,1.73,1.8,1
57428,19.083,45.02,110,416,12818,20647,937.479,2.2,2.29,0
9094,-5.242,57.67,360,400,13065,19919,939.283,0.59,0.61,1
11730,14.256,47.15,1017,613,12813,19472,939.071,1.97,2.04,1
34267,21.33,60.25,586,572,12855,19682,939.235,2.57,2.67,1
16126,12.203,52.99,1176,422,12878,19436,938.785,1.74,1.81,1
18899,20.754,53.9,1172,410,12916,19442,938.7,1.63,1.69,1
21943,-12.172,52.95,1360,403,12959,19389,938.742,2.03,2.11,1
31855,21.22,49.81,224,400,13144,20049,939.612,0.46,0.47,1
11537,12.263,48.1,1069,618,12810,19463,939.062,2.27,2.36,1
34876,24.51,51.01,686,778,12744,19569,939.16,3.02,3.14,1
46748,25.13,49.9,1367,417,12952,19396,938.709,2.02,2.1,1
6990,-5.358,49.93,249,400,13127,20018,939.59,0.45,0.47,1
31444,20.06,49.4,222,400,13138,20055,939.624,1.08,1.12,1
61132,19.977,20.65,3444,400,12902,19751,936.845,0.62,0.65,0
48017,24.64,53.02,1358,404,12975,19395,938.7,1.94,2.01,1
19001,20.793,52.41,1251,407,12918,19415,938.689,1.71,1.78,1
